xflr5 v6.61

Plane name :, rio5_-0.5incid
Polar name :, T1-15.0 m/s-aft_SM
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    9.000,     0.000,   0.913393,   0.069768,   0.012572,   0.082340,   0.000000,  -0.000000,  -0.006607,  -0.000000,  -0.000000,   15.0000,    0.1583
    9.500,     0.000,   0.945031,   0.074703,   0.012885,   0.087589,   0.000000,  -0.000000,  -0.009650,  -0.000000,  -0.000000,   15.0000,    0.1597
   10.000,     0.000,   0.976480,   0.079786,   0.013195,   0.092981,   0.000000,  -0.000000,  -0.012693,  -0.000000,  -0.000000,   15.0000,    0.1610
   10.500,     0.000,   1.007734,   0.085011,   0.013527,   0.098538,   0.000000,  -0.000000,  -0.015734,  -0.000000,  -0.000000,   15.0000,    0.1623
   11.000,     0.000,   1.038785,   0.090376,   0.013859,   0.104236,   0.000000,  -0.000000,  -0.018772,  -0.000000,  -0.000000,   15.0000,    0.1634
   11.500,     0.000,   1.069629,   0.095878,   0.014199,   0.110077,   0.000000,  -0.000000,  -0.021806,  -0.000000,  -0.000000,   15.0000,    0.1646
   12.000,     0.000,   1.100258,   0.101511,   0.014570,   0.116081,   0.000000,  -0.000000,  -0.024836,  -0.000000,  -0.000000,   15.0000,    0.1657
   12.500,     0.000,   1.130667,   0.107273,   0.015126,   0.122398,   0.000000,  -0.000000,  -0.027858,  -0.000000,  -0.000000,   15.0000,    0.1667
   13.000,     0.000,   1.160850,   0.113159,   0.015857,   0.129016,   0.000000,  -0.000000,  -0.030871,  -0.000000,  -0.000000,   15.0000,    0.1677
   13.500,     0.000,   1.190802,   0.119164,   0.016697,   0.135861,   0.000000,  -0.000000,  -0.033876,  -0.000000,  -0.000000,   15.0000,    0.1687
   14.000,     0.000,   1.220517,   0.125286,   0.017668,   0.142954,   0.000000,  -0.000000,  -0.036869,  -0.000000,  -0.000000,   15.0000,    0.1697
   14.500,     0.000,   1.249989,   0.131519,   0.019694,   0.151213,   0.000000,  -0.000000,  -0.039840,  -0.000000,  -0.000000,   15.0000,    0.1706


